AAPL,MSFT,UNH,KO,DIS,GS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
39,2,2,21,22,14,0.888587967106385989701777816663,48063.240120809423387981951236724854,54089.456418505680630914866924285889,1,62,look letf
39,0,2,21,23,15,0.890198793103194940812272761832,49955.496037450880976393818855285645,56117.236312249042384792119264602661,1,62,look right
39,2,2,21,23,13,0.887450215755727578326172988454,48247.381277559637965168803930282593,54366.296183131271391175687313079834,1,62,look letf
39,1,1,22,23,14,0.887140068309301366156205403968,48539.733527635122300125658512115479,54714.847476274451764766126871109009,1,62,look right
39,1,3,20,23,14,0.889853154930762446639391782810,49657.137103594046493526548147201538,55803.743379948755318764597177505493,1,62,look letf
39,1,1,21,24,14,0.886898189626176614019925636967,49892.382993053484824486076831817627,56254.915814049512846395373344421387,1,62,look right
39,1,3,21,22,14,0.887210778671917776883049100434,48305.642319540893367957323789596558,54446.635997649289492983371019363403,1,62,look letf
39,1,1,21,23,15,0.890769420295446812119166679622,49712.400652370830357540398836135864,55808.382640574280230794101953506470,1,62,look right
39,1,3,21,23,13,0.889105258242387175293686141231,48489.783476291151600889861583709717,54537.731080510500760283321142196655,1,62,look letf
39,1,2,20,24,14,0.890155408803444680998495641688,50451.084781032899627462029457092285,56676.715416299863136373460292816162,1,62,look right
39,1,2,22,22,14,0.887904809047988075043633671157,47746.940531561442185193300247192383,53774.841677854783483780920505523682,1,62,look letf
39,1,2,20,23,15,0.888257474543890146456703860167,50271.102440350325196050107479095459,56595.192138590165995992720127105713,1,62,look right
39,1,2,22,23,13,0.883639285029967469498046739318,47931.081688311664038337767124176025,54242.814347809515311382710933685303,1,62,look letf
39,1,2,21,22,15,0.886423936870163964307778314833,48919.607656297142966650426387786865,55187.597741353056335356086492538452,1,62,look right
39,1,2,21,24,13,0.884381767137850438587065582396,49283.731153730004734825342893600464,55726.760755401286587584763765335083,1,62,look letf
38,2,2,21,23,14,0.891436228008017916835115102003,49033.017520386558317113667726516724,55004.515163080781348980963230133057,1,87,look right
40,0,2,21,23,14,0.889458958491341600272050982312,49165.069858048904279712587594985962,55275.254005469098046887665987014771,1,87,look letf
36,4,2,21,23,14,0.890563160938221187734598061070,48900.965182724205078557133674621582,54910.159467191893782000988721847534,2,87,acc right
37,3,2,21,23,14,0.891358072301685178118191288377,48967.076164300793607253581285476685,54935.359521518541441764682531356812,1,87,dec right
37,2,3,21,23,14,0.890151845983385037186508270679,49209.478363032299967017024755477905,55282.116849028934666421264410018921,1,87,look right
37,2,2,22,23,14,0.891746189633408681274318041687,48650.776575052805128507316112518311,54556.752964711668028030544519424438,1,92,look right
35,2,2,24,23,14,0.890983105988789603202349098865,47886.722561159738688729703426361084,53745.937761655215581413358449935913,2,92,acc right
36,2,2,23,23,14,0.891600918902758499129390656890,48268.963506493491877336055040359497,54137.408882322939462028443813323975,1,92,dec right
36,2,2,22,24,14,0.892060920439130322634468939214,49621.708655995134904514998197555542,55625.919171045075927395373582839966,1,95,look right
38,2,2,22,22,14,0.888656144719329521564077367657,47681.522736333390639629215002059937,53655.762152404829976148903369903564,1,95,look letf
34,2,2,22,26,14,0.885584760204099152858248089615,51562.525696164280816446989774703979,58224.269446868929662741720676422119,2,95,acc right
35,2,2,22,25,14,0.889899293573186422889875757392,50592.117176079700584523379802703857,56851.508413877556449733674526214600,1,95,dec right
35,2,2,22,24,15,0.890151163247508758757930991123,50412.134835397104325238615274429321,56633.229182648254209198057651519775,1,95,look right
37,2,2,22,24,13,0.886750038645791271996188243065,48836.072413168200000654906034469604,55073.098714208877936471253633499146,1,95,look letf
36,1,3,22,24,14,0.892135394496293310240275786782,49864.110854726641264278441667556763,55892.985708610198344103991985321045,1,101,look right
36,3,1,22,24,14,0.890536038174846500403702975746,49379.306457263657648582011461257935,55448.970440844306722283363342285156,1,101,look letf
36,0,3,23,24,14,0.891313482376804744333753660612,49548.408767743894713930785655975342,55590.327923253826156724244356155396,1,101,look right
36,2,3,21,24,14,0.891191616084099469397017401207,50180.410443974607915151864290237427,56307.094387251519947312772274017334,1,101,look letf
36,0,3,22,25,14,0.889716404125707183148108470050,50901.153917245486809406429529190063,57210.537741252788691781461238861084,1,101,look right
36,2,3,22,23,14,0.890923158969547102081776301929,48827.760978556281770579516887664795,54805.805065198983356822282075881958,1,101,look letf
36,0,3,22,24,15,0.889338595148031041404124152905,50721.171576562912377994507551193237,57032.464185499942686874419450759888,1,101,look right
36,2,3,22,24,13,0.891228164780841325409710407257,49013.056816671654814854264259338379,54994.959487982829159591346979141235,1,101,look letf
36,1,2,23,24,14,0.890588493008860671018567245483,49305.313382663836819119751453399658,55362.621199029221315868198871612549,1,101,look right
36,1,4,21,24,14,0.889280191516367390924813207675,50422.812642706157930660992860794067,56700.703696915887121576815843582153,1,101,look letf
36,1,2,22,25,14,0.888546768109156892556654838700,50658.058532165479846298694610595703,57012.259062026321771554648876190186,1,101,look right
36,1,4,22,23,14,0.888409433023024552866786507366,49070.163177287780854385346174240112,55233.725975100096547976136207580566,1,101,look letf
36,1,2,22,24,15,0.890968765004700680165683479572,50478.076191482876311056315898895264,56655.270278994074033107608556747437,1,101,look right
36,1,4,22,24,13,0.891666641330692955058623283549,49255.459015403153898660093545913696,55239.768689670818275772035121917725,1,101,look letf
36,1,3,21,25,14,0.889841020634655643917199085990,51216.760320144960132893174886703491,57557.203064897992589976638555526733,1,101,look right
36,1,3,23,23,14,0.891167871777328146620789084409,48511.365705224976409226655960083008,54435.721081904397578909993171691895,1,101,look letf
36,1,3,21,24,15,0.886683538939443294246700588701,51036.777979462385701481252908706665,57559.180629999245866201817989349365,1,101,look right
36,1,3,23,24,13,0.888402238763362661622124960559,48696.661543340393109247088432312012,54813.753746416856301948428153991699,1,101,look letf
36,1,3,22,23,15,0.886491884477259239893953690625,49684.128514044030453078448772430420,56045.779306080665264744311571121216,1,101,look right
36,1,3,22,25,13,0.887226615098833160111269080517,50049.406692842014308553189039230347,56411.074511405102384742349386215210,1,101,look letf
35,2,3,22,24,14,0.892140400988101212043090981751,49798.169498640869278460741043090820,55818.758396645062020979821681976318,1,121,look right
37,0,3,22,24,14,0.891440642993787779602143928059,49930.221836303193413186818361282349,56010.708316617718082852661609649658,1,121,look letf
33,4,3,22,24,14,0.890057480055767236137853615219,49666.117160978523315861821174621582,55801.022151812772790435701608657837,2,121,acc right
34,3,3,22,24,14,0.891446040986635823699657521502,49732.228142555119120515882968902588,55788.265196076725260354578495025635,1,121,dec right
34,2,4,22,24,14,0.889168002608005991760364850052,49974.630341286603652406483888626099,56203.810972399733145721256732940674,1,121,look right
34,2,3,23,24,14,0.892678693093876707287392946455,49415.832869223813759163022041320801,55356.796629654854768887162208557129,1,126,look right
32,2,3,25,24,14,0.892434259628310688761132496438,48651.874539414035098161548376083374,54515.919816521854954771697521209717,2,126,acc right
33,2,3,24,24,14,0.892783690960980647055578174331,49034.115484747759182937443256378174,54922.727622822145349346101284027100,1,128,dec right
32,2,3,24,25,14,0.891777137882597270568396652379,50004.524004832346690818667411804199,56072.892969157343031838536262512207,1,128,look right
34,2,3,24,23,14,0.891145389992634484599420829909,48063.183403805451234802603721618652,53934.166011006018379703164100646973,1,128,look letf
32,2,3,24,24,15,0.888345944101113560442684047302,49824.541664149772259406745433807373,56086.867953863962611649185419082642,1,128,look right
34,2,3,24,24,13,0.889951521914967624837800030946,48248.479241920846106950193643569946,54214.727492236204852815717458724976,1,128,look letf
33,1,4,24,24,14,0.891203949341490608837546005816,49276.517683479316474404186010360718,55292.077329650150204543024301528931,1,128,look right
33,3,2,24,24,14,0.892907567516577516109066436911,48791.713286016260099131613969802856,54643.632847372420656029134988784790,1,134,look letf
33,5,0,24,24,14,0.888620859007649754879309966782,48306.215702204746776260435581207275,54360.884299013399868272244930267334,2,134,acc letf
33,4,1,24,24,14,0.891525562337225019327036079630,48548.617900936231308151036500930786,54455.665604989597341045737266540527,1,134,dec letf
33,2,2,25,24,14,0.890869136162799502010045671341,48475.413696768322552088648080825806,54413.618935733131365850567817687988,1,134,look right
33,4,2,23,24,14,0.893066568474558120094286550739,49107.319688915755250491201877593994,54987.300412326134392060339450836182,1,138,look letf
33,6,2,21,24,14,0.888052330002714773726779640128,49740.014551495027262717485427856445,56010.229207261887495405972003936768,2,138,acc letf
33,5,2,22,24,14,0.891416010506317468831127825979,49423.714962247024232055991888046265,55444.051239527019788511097431182861,1,138,dec letf
33,3,2,23,25,14,0.891128927340417931191041134298,50144.362751434593519661575555801392,56270.603739787555241491645574569702,1,138,look right
33,5,2,23,23,14,0.891195781425063060510183277074,48070.969812745352101046591997146606,53939.853413441502198111265897750854,1,138,look letf
33,3,2,23,24,15,0.889870851235285531544150217087,49964.380410751989984419196844100952,56147.900946966969058848917484283447,1,138,look right
33,5,2,23,24,13,0.892450263602929116935058573290,48256.265650860783352982252836227417,54071.658241260898648761212825775146,1,138,look letf
33,4,1,23,25,14,0.889324528316641993441749036720,49901.267366354579280596226453781128,56111.425893998668470885604619979858,1,138,look right
33,4,3,23,23,14,0.889246294340159892932717866643,48313.372011476858460810035467147827,54330.698164254295988939702510833740,1,138,look letf
33,4,1,23,24,15,0.890944619114108160573550776462,49721.285025671983021311461925506592,55807.380121012778545264154672622681,1,138,look right
33,4,3,23,24,13,0.893544994904296840942947710573,48498.667849592260608915239572525024,54276.693536609993316233158111572266,1,148,look letf
33,4,5,23,24,11,0.889076708597122733479523049027,47276.050673512516368646174669265747,53174.321423974273784551769495010376,2,148,acc letf
33,4,4,23,24,12,0.892244456632805049700607469276,47884.702512836025562137365341186523,53667.694046030403114855289459228516,1,148,dec letf
33,4,3,22,25,13,0.891801665577174773602564528119,49851.412999093903636094182729721069,55899.663482720708998385816812515259,1,148,look right
33,4,3,24,23,13,0.891740775008881603191923659324,47146.018384173919912427663803100586,52869.645198969796183519065380096436,1,148,look letf
33,4,3,24,24,12,0.887049711252293593410911398678,47326.000724856559827458113431930542,53352.140386860635771881788969039917,1,148,look letf
33,4,3,23,25,12,0.886667207720575278884211911645,48678.650190274856868200004100799561,54900.699796281929593533277511596680,1,148,look letf
32,5,3,23,24,13,0.893812971432391689674545887101,48432.726493506495899055153131484985,54186.645351420658698771148920059204,1,155,look right
34,3,3,23,24,13,0.892547270249379853801485751319,48564.778831168827309738844633102417,54411.436178164221928454935550689697,1,155,look letf
30,7,3,23,24,13,0.892124632714666354615928867133,48300.674155844171764329075813293457,54141.173087967486935667693614959717,2,155,acc right
31,6,3,23,24,13,0.893338435379032236305363312567,48366.785137420702085364609956741333,54141.614445257000625133514404296875,1,155,dec right
31,5,4,23,24,13,0.891906511802776469366449418885,48609.187336152208445128053426742554,54500.316673213113972451537847518921,1,155,look right
31,5,3,24,24,13,0.894012850641351497493758415658,48050.485548172749986406415700912476,53746.974122018546040635555982589722,1,160,look right
33,5,3,22,24,13,0.893163291554458282917039468884,48815.063122923580522183328866958618,54654.130531905328098218888044357300,1,160,look letf
29,5,3,26,24,13,0.892973904612363367228056176828,47286.527218363044084981083869934082,52953.985524235387856606394052505493,2,160,acc right
30,5,3,25,24,13,0.893740115032287674168287594512,47668.768163696760893799364566802979,53336.274563411148847080767154693604,1,160,dec right
30,5,3,24,25,13,0.893130727971114479757375193003,49021.417629115057934541255235671997,54887.169474590627942234277725219727,1,160,look right
32,5,3,24,23,13,0.892114241635166393962208530866,47080.077028088177030440419912338257,52773.596509113638603594154119491577,1,160,look letf
30,5,3,24,24,14,0.890472684736073771816222688358,48836.121790999677614308893680572510,54842.919528153928695246577262878418,1,160,look right
32,5,3,24,24,12,0.889879941071325619716958499339,47260.059368770787841640412807464600,53108.354495410298113711178302764893,1,160,look letf
31,4,4,24,24,13,0.893220192225659515017355261080,48292.887746904227242339402437210083,54066.050193705996207427233457565308,1,160,look right
31,6,2,24,24,13,0.893263455798661176743280520895,47808.083349441236350685358047485352,53520.697661023572436533868312835693,1,160,look letf
31,4,3,25,24,13,0.892759995269662653960551779164,47734.185958924768783617764711380005,53468.105887189107306767255067825317,1,160,look right
31,4,3,24,25,13,0.892294961597798197416864240950,49086.835424343073100317269563674927,55011.893529517605202272534370422363,1,160,look right
31,6,3,24,23,13,0.891706881839494536201584651280,47014.135672002354112919420003890991,52723.755563058228290174156427383423,1,160,look letf
31,4,3,24,24,14,0.891966385052144650202876619005,48901.539586227685504127293825149536,54824.419850047248473856598138809204,1,160,look right
31,6,3,24,24,12,0.891975384729761455737673259136,47194.118012684994027949869632720947,52909.664123728281992953270673751831,1,160,look letf
31,5,2,25,24,13,0.891303071154027182210199953261,47491.783760193284251727163791656494,53283.541027972256415523588657379150,1,160,look right
31,5,2,24,25,13,0.890407072829390799917348431336,48844.433225611581292469054460525513,54856.295189122523879632353782653809,1,160,look right
31,5,4,24,23,13,0.889675724211696272725191647623,47256.537870733882300555706024169922,53116.586846972684725187718868255615,1,160,look letf
31,5,2,24,24,14,0.893088338624758115713575534755,48659.137387496200972236692905426025,54484.125794795450929086655378341675,1,160,look right
31,5,4,24,24,12,0.893149972435404171378081628063,47436.520211416485835798084735870361,53111.483709805819671601057052612305,1,160,look letf
31,5,3,23,25,13,0.892758839096074674479552868434,49403.135013591039751190692186355591,55337.603897164546651765704154968262,1,160,look right
