TRI.TO,CSU.TO,IFC.TO,AEM.TO,CNR.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
20,17,26,31,6,0.983502971206076104238036350580,47080.153894598159240558743476867676,47869.864426401742093730717897415161,1,74,Local Search 1 4
20,18,27,30,5,0.981527172596575958607445500093,47466.501349143625702708959579467773,48359.844408151853713206946849822998,1,74,Local Search 2 3
20,18,25,32,5,0.980210501390950894595732734160,47452.320574440025666262954473495483,48410.336868564074393361806869506836,1,74,Local Search 2 3
21,19,25,30,5,0.980658159698133302661915422505,48253.032005270069930702447891235352,49204.742272397284978069365024566650,1,74,Local Search add01/miner23
21,19,25,31,4,0.982999215196273201655685625155,48232.095599472995672840625047683716,49066.260535968591284472495317459106,1,74,Local Search add01/miner24
21,19,26,30,4,0.980533473478458206251673345832,48239.185986824784777127206325531006,49196.878323485987493768334388732910,1,74,Local Search add01/miner34
21,17,27,30,5,0.981367175604089703178090076108,47446.171797101436823140829801559448,48347.013204202092310879379510879517,1,74,Local Search add02/miner13
21,17,27,31,4,0.982486721203141621927557025629,47425.235391304362565279006958007812,48270.612078327103517949581146240234,1,74,Local Search add02/miner14
21,18,27,30,4,0.980854554864877270503598083451,47825.428864295143284834921360015869,48758.940484181759529747068881988525,1,74,Local Search add02/miner34
21,17,25,32,5,0.979946999082747738363252665295,47431.991022397844062652438879013062,48402.608576581435045227408409118652,1,74,Local Search add03/miner12
21,17,26,32,4,0.979132809214825483579147658020,47418.145003952544357161968946456909,48428.716265751056198496371507644653,1,74,Local Search add03/miner14
21,18,25,32,4,0.980007145341523777659631377901,47811.248089591506868600845336914062,48786.632135146028304006904363632202,1,74,Local Search add03/miner24
21,17,25,31,6,0.983035327819164361784487482510,47452.927428194961976259946823120117,48271.843427507250453345477581024170,1,74,Local Search add04/miner12
21,17,26,30,6,0.981098221219598554121432698594,47460.017815546758356504142284393311,48374.379638105383492074906826019287,1,74,Local Search add04/miner13
21,18,25,30,6,0.980720112150461287292557699402,47853.120901185742695815861225128174,48793.861070368417131248861551284790,1,74,Local Search add04/miner23
19,19,27,30,5,0.980549018373210845567200522055,47507.484938076398975681513547897339,48449.882716617416008375585079193115,1,74,Local Search add12/miner03
19,19,27,31,4,0.981223573007317106942082318710,47486.548532279317441862076520919800,48395.238188927207374945282936096191,1,74,Local Search add12/miner04
20,19,27,30,4,0.980247532715222136268096164713,47866.412453227938385680317878723145,48830.944078625812835525721311569214,1,74,Local Search add12/miner34
19,19,25,32,5,0.979443364679461914157343471743,47493.304163372828043065965175628662,48490.097412539776996709406375885010,1,74,Local Search add13/miner02
19,19,26,32,4,0.978044119357434849071353255567,47479.458144927557441405951976776123,48545.313248364589526318013668060303,1,74,Local Search add13/miner04
20,19,25,32,4,0.979605224124095230742170770100,47852.231678524352901149541139602661,48848.485594093246618285775184631348,1,74,Local Search add13/miner24
19,19,25,31,6,0.982959185156792702997563537792,47514.240569169931404758244752883911,48337.958774545550113543868064880371,1,74,Local Search add14/miner02
19,19,26,30,6,0.980873018513435224186025607196,47521.330956521785992663353681564331,48447.994857216959644574671983718872,1,74,Local Search add14/miner03
