AAPL,MSFT,UNH,PG,DIS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
22,17,17,18,26,0.839687736533325845833530820528,52703.220299003332911524921655654907,62765.261425146025430876761674880981,1,56,Local Search 2 4
22,17,18,19,24,0.841461782805468572199458776595,51055.492228933879232499748468399048,60674.760603758790239226073026657104,1,56,Local Search 3 4
22,17,18,17,26,0.840517957763824541395081269002,52763.053014195109426509588956832886,62774.450595404050545766949653625488,1,56,Local Search 3 4
23,16,18,18,25,0.841041981836761265434176948474,51975.213977650288143195211887359619,61798.596384143653267528861761093140,1,56,Local Search 0 1
21,18,18,18,25,0.842309174152102602128877606447,51843.331265478715067729353904724121,61549.052125267415249254554510116577,1,67,Local Search 0 1
20,19,18,18,25,0.842135530065542314837045978493,51777.220283902192022651433944702148,61483.239259448462689761072397232056,1,67,Local Search 0 1
22,18,17,18,25,0.842328060615662788102042668470,51666.870422832980693783611059188843,61338.180263244874367956072092056274,1,69,Local Search 0 2
23,18,16,18,25,0.839927946856316665069641658192,51490.409580187268147710710763931274,61303.365095667591958772391080856323,1,69,Local Search 0 2
23,18,17,17,25,0.841662440978178216788307963725,51550.242295379081042483448982238770,61248.120131709220004267990589141846,1,69,Local Search 0 3
21,18,17,19,25,0.842570458622651674573944546864,51783.498550286916724871844053268433,61458.953397128716460429131984710693,1,72,Local Search 0 3
20,18,17,20,25,0.842394597816460977135477605771,51900.069864089397015050053596496582,61610.164640914837946183979511260986,1,72,Local Search 0 3
22,18,17,19,24,0.842101116764478296872198370693,50813.090030202365596778690814971924,60340.841519646084634587168693542480,1,72,Local Search 0 4
20,18,17,19,26,0.841132665794174561035845272272,52754.430631229239224921911954879761,62718.323489933587552513927221298218,1,72,Local Search 0 4
21,19,16,19,25,0.841569604347124466947605014866,51540.403165206851554103195667266846,61243.185232659430766943842172622681,1,72,Local Search 1 2
21,17,18,19,25,0.842448901573102260087466675031,52025.900749018430360592901706695557,61755.556511345224862452596426010132,1,72,Local Search 1 2
21,19,17,18,25,0.843075704301529893491817801987,51600.235880398686276748776435852051,61204.747826469952997285872697830200,1,78,Local Search 1 3
21,20,17,17,25,0.841906159843235468720479275362,51417.666396858970983885228633880615,61072.918633156266878359019756317139,1,78,Local Search 1 3
21,20,17,18,24,0.842239139155342542153448448516,50563.886004228355886880308389663696,60035.070389791464549489319324493408,1,78,Local Search 1 4
21,18,17,18,26,0.841091471553990110976428695722,52637.278942917553649749606847763062,62582.109940629372431430965662002563,1,78,Local Search 1 4
21,19,18,17,25,0.840507712476185164796049775759,51660.068595590484619606286287307739,61462.932259594483184628188610076904,1,78,Local Search 2 3
21,19,16,19,25,0.841569604347124466947605014866,51540.403165206851554103195667266846,61243.185232659430766943842172622681,1,78,Local Search 2 3
21,19,18,18,24,0.840542968612453034182863120805,50806.288202959854970686137676239014,60444.605570646293926984071731567383,1,78,Local Search 2 4
21,19,16,18,26,0.839883102791018298916014828137,52394.183557837503030896186828613281,62382.709431498529738746583461761475,1,78,Local Search 2 4
21,19,17,19,24,0.843049254407556070134432957275,50746.455487768056627828627824783325,60193.939111457482795231044292449951,1,78,Local Search 3 4
21,19,17,17,26,0.841196336617598294793651803047,52454.016273029294097796082496643066,62356.448773830677964724600315093994,1,78,Local Search 3 4
22,18,17,18,25,0.842328060615662788102042668470,51666.870422832980693783611059188843,61338.180263244874367956072092056274,1,78,Local Search 0 1
20,20,17,18,25,0.843280500614875583309526518860,51534.818085170656559057533740997314,61112.308475761259614955633878707886,1,89,Local Search 0 1
19,21,17,18,25,0.842935210332995454862725637213,51468.876729084920953027904033660889,61059.113557200340437702834606170654,1,89,Local Search 0 1
21,20,16,18,25,0.842726363891541097039805663371,51357.833681667165365070104598999023,60942.478937655403569806367158889771,1,89,Local Search 0 2
